ID;Geslacht;LeeftijdOp31December;Marges;Perioden;Levensverwachting_1;LVInAlsGoedErvarenGezondheid_2;LVZonderMatigeEnErnstigeBeperking_3;LVZonderErnstigeBeperkingen_4;LVZonderLichteMatigeErnstigeBep_5;LVZonderChronischeZiektes_6;LVZonderChrZiekExclHogeBloeddruk_7;LVZonderPsychischeKlachtenMHI5_8;LVZonderGALIBeperkingen_9;LVZonderErnstigeGALIBeperkingen_10
2477;3000;15500;MW00000;1998JJ00;   23.48;    14.8;    18.4;       .;       .;     9.8;       .;       .;       .;       .
2478;3000;15500;MW00000;1999JJ00;   23.60;    14.6;    18.6;       .;       .;     9.3;       .;       .;       .;       .
2479;3000;15500;MW00000;2000JJ00;   23.77;    15.1;    18.5;       .;       .;     9.0;       .;       .;       .;       .
2480;3000;15500;MW00000;2001JJ00;   24.04;    15.1;    18.2;    20.5;    10.3;     8.8;    10.3;    20.8;       .;       .
2481;3000;15500;MW00000;2002JJ00;   24.12;    15.2;    18.4;    20.6;     9.9;     8.2;    10.2;    21.9;       .;       .
2482;3000;15500;MW00000;2003JJ00;   24.36;    15.5;    19.0;    21.1;    10.6;     8.9;    10.8;    21.9;       .;       .
2483;3000;15500;MW00000;2004JJ00;   24.84;    15.5;    18.5;    21.1;    10.2;     8.2;     9.7;    22.5;       .;       .
2484;3000;15500;MW00000;2005JJ00;   25.07;    16.3;    19.7;    22.0;    10.5;     7.9;     9.8;    23.0;       .;       .
2485;3000;15500;MW00000;2006JJ00;   25.43;    16.3;    19.3;    21.8;    10.1;     7.9;     9.6;    23.0;       .;       .
2486;3000;15500;MW00000;2007JJ00;   25.71;    17.3;    20.3;    22.5;    10.4;     7.9;     9.9;    23.3;       .;       .
2487;3000;15500;MW00000;2008JJ00;   26.00;    16.4;    19.8;    23.0;    11.2;     7.7;    10.5;    23.8;       .;       .
2488;3000;15500;MW00000;2009JJ00;   26.15;    17.9;    20.3;    23.0;    11.0;     7.6;    10.1;    24.1;       .;       .
2489;3000;15500;MW00000;2010JJ00;   26.33;    17.2;    20.2;    22.9;    10.7;     8.5;    10.7;    23.9;       .;       .
2490;3000;15500;MW00000;2011JJ00;   26.73;    16.9;    20.9;    23.6;    10.4;     7.2;     9.3;    24.3;       .;       .
2491;3000;15500;MW00000;2012JJ00;   26.69;    17.1;    21.3;    23.7;    11.3;     8.1;    10.0;    24.2;       .;       .
2492;3000;15500;MW00000;2013JJ00;   26.88;    17.2;    20.7;    23.6;    10.5;     8.0;     9.9;    24.1;       .;       .
2493;3000;15500;MW00000;2014JJ00;   27.34;    17.5;    21.1;    23.1;    13.0;     7.1;     9.3;    25.0;    14.9;    23.8
2494;3000;15500;MW00000;2015JJ00;   27.13;    17.6;    21.2;    23.7;    13.1;     7.0;     9.3;    25.0;    15.5;    23.7
2495;3000;15500;MW00000;2016JJ00;   27.26;    18.1;    21.7;    24.0;    12.9;     7.6;     9.7;    25.3;    15.6;    24.0
2496;3000;15500;MW00000;2017JJ00;   27.51;    18.2;    22.1;    24.2;    13.9;     7.5;     9.8;    25.6;    15.6;    24.8
2497;3000;15500;MW00000;2018JJ00;   27.55;    17.7;    22.0;    24.2;    12.9;     7.5;     9.9;    24.6;    15.9;    24.9
2498;3000;15500;MW00000;2019JJ00;   27.84;    18.3;    22.2;    24.8;    12.6;     7.1;     9.6;    25.3;    14.8;    25.3
2499;3000;15500;MW00000;2020JJ00;   27.13;    19.1;    21.9;    24.0;    12.3;     6.9;     9.2;    24.8;    15.2;    24.6
2500;3000;15500;MW00000;2021JJ00;   27.11;    18.8;    22.3;    24.2;    12.8;     7.7;     9.7;    24.4;    14.8;    25.2
2501;3000;15500;B000150;1981JJ00;       .;     0.3;       .;       .;       .;     0.3;       .;       .;       .;       .
2502;3000;15500;B000150;1982JJ00;       .;     0.4;       .;       .;       .;     0.3;       .;       .;       .;       .
2503;3000;15500;B000150;1983JJ00;       .;     0.5;     0.3;       .;       .;     0.5;       .;       .;       .;       .
2504;3000;15500;B000150;1984JJ00;       .;     0.4;     0.3;       .;       .;     0.3;       .;       .;       .;       .
2505;3000;15500;B000150;1985JJ00;       .;     0.4;     0.3;       .;       .;     0.4;       .;       .;       .;       .
2506;3000;15500;B000150;1986JJ00;       .;     0.5;     0.3;       .;       .;     0.5;       .;       .;       .;       .
2507;3000;15500;B000150;1987JJ00;       .;     0.4;     0.3;       .;       .;     0.4;       .;       .;       .;       .
2508;3000;15500;B000150;1988JJ00;       .;     0.4;     0.3;       .;       .;     0.4;       .;       .;       .;       .
2509;3000;15500;B000150;1989JJ00;       .;     0.4;     0.3;       .;       .;     0.4;       .;       .;       .;       .
2510;3000;15500;B000150;1990JJ00;       .;     0.4;     0.4;       .;       .;     0.4;       .;       .;       .;       .
2511;3000;15500;B000150;1991JJ00;       .;     0.4;     0.4;       .;       .;     0.4;       .;       .;       .;       .
2512;3000;15500;B000150;1992JJ00;       .;     0.4;     0.4;       .;       .;     0.4;       .;       .;       .;       .
2513;3000;15500;B000150;1993JJ00;       .;     0.4;     0.4;       .;       .;     0.4;       .;       .;       .;       .
2514;3000;15500;B000150;1994JJ00;       .;     0.4;     0.4;       .;       .;     0.4;       .;       .;       .;       .
2515;3000;15500;B000150;1995JJ00;       .;     0.4;     0.3;       .;       .;     0.4;       .;       .;       .;       .
