ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
459;1100;10000;2003W128;2436
460;1100;10000;2003W129;2721
461;1100;10000;2003W130;2553
462;1100;10000;2003W131;2556
463;1100;10000;2003W132;2773
464;1100;10000;2003W133;2866
465;1100;10000;2003W134;2496
466;1100;10000;2003W135;2398
467;1100;10000;2003W136;2487
468;1100;10000;2003W137;2457
469;1100;10000;2003W138;2661
470;1100;10000;2003W139;2631
471;1100;10000;2003W140;2531
472;1100;10000;2003W141;2484
473;1100;10000;2003W142;2586
474;1100;10000;2003W143;2599
475;1100;10000;2003W144;2743
476;1100;10000;2003W145;2636
477;1100;10000;2003W146;2581
478;1100;10000;2003W147;2639
479;1100;10000;2003W148;2643
480;1100;10000;2003W149;2636
481;1100;10000;2003W150;2898
482;1100;10000;2003W151;3112
483;1100;10000;2003W152;3201
484;1100;10000;2003W153;1434
486;1100;10000;2004W101;1899
487;1100;10000;2004W102;3333
488;1100;10000;2004W103;3055
489;1100;10000;2004W104;2921
490;1100;10000;2004W105;2907
491;1100;10000;2004W106;2751
492;1100;10000;2004W107;2692
493;1100;10000;2004W108;2746
494;1100;10000;2004W109;2722
495;1100;10000;2004W110;2720
496;1100;10000;2004W111;2649
497;1100;10000;2004W112;2740
498;1100;10000;2004W113;2639
499;1100;10000;2004W114;2743
500;1100;10000;2004W115;2560
501;1100;10000;2004W116;2648
502;1100;10000;2004W117;2541
503;1100;10000;2004W118;2548
504;1100;10000;2004W119;2455
505;1100;10000;2004W120;2563
506;1100;10000;2004W121;2500
507;1100;10000;2004W122;2509
508;1100;10000;2004W123;2485
509;1100;10000;2004W124;2680
510;1100;10000;2004W125;2403
511;1100;10000;2004W126;2442
512;1100;10000;2004W127;2454
513;1100;10000;2004W128;2493
514;1100;10000;2004W129;2399
515;1100;10000;2004W130;2372
516;1100;10000;2004W131;2449
517;1100;10000;2004W132;2642
518;1100;10000;2004W133;2679
519;1100;10000;2004W134;2414
520;1100;10000;2004W135;2429
521;1100;10000;2004W136;2414
522;1100;10000;2004W137;2459
523;1100;10000;2004W138;2405
524;1100;10000;2004W139;2434
525;1100;10000;2004W140;2558
526;1100;10000;2004W141;2438
527;1100;10000;2004W142;2497
528;1100;10000;2004W143;2529
529;1100;10000;2004W144;2578
530;1100;10000;2004W145;2517
531;1100;10000;2004W146;2537
532;1100;10000;2004W147;2575
533;1100;10000;2004W148;2567
534;1100;10000;2004W149;2619
535;1100;10000;2004W150;2607
536;1100;10000;2004W151;2734
537;1100;10000;2004W152;2836
538;1100;10000;2004W153;2067
541;1100;10000;2005W101;2871
542;1100;10000;2005W102;2808
543;1100;10000;2005W103;2845
544;1100;10000;2005W104;2813
545;1100;10000;2005W105;2906
546;1100;10000;2005W106;3001
547;1100;10000;2005W107;3094
548;1100;10000;2005W108;3197
549;1100;10000;2005W109;3351
550;1100;10000;2005W110;3277
551;1100;10000;2005W111;3089
552;1100;10000;2005W112;2961
553;1100;10000;2005W113;2765
554;1100;10000;2005W114;2670
555;1100;10000;2005W115;2615
556;1100;10000;2005W116;2566
557;1100;10000;2005W117;2530
558;1100;10000;2005W118;2564
559;1100;10000;2005W119;2572
560;1100;10000;2005W120;2574
561;1100;10000;2005W121;2662
562;1100;10000;2005W122;2460
563;1100;10000;2005W123;2377
564;1100;10000;2005W124;2539
565;1100;10000;2005W125;2782
566;1100;10000;2005W126;2509
567;1100;10000;2005W127;2302
568;1100;10000;2005W128;2382
569;1100;10000;2005W129;2326
570;1100;10000;2005W130;2318
571;1100;10000;2005W131;2314
572;1100;10000;2005W132;2244
573;1100;10000;2005W133;2394
